-------------------1	-------------------
dirigia-do-ae	dirigia-do-ae
dirigida	dirigida
disao	disao
diser	diser
dispõe	dispoe
divcrimmaçjo	divcrimmacjo
diversas	diversas
dividtram-se	dividtram-se
divuas	divuas
dizcr-Iho	dizcr-iho
dizel-rfao	dizel-rfao
dizer-lhe	dizer-lhe
dlasc	dlasc
dli-s*-n*s	dli-s-ns
*d’3lina	dlina
dlr*tor	dlrtor
dlurrlmlrurto	dlurrlmlrurto
doclara	doclara
docunier	docunier
doente	doente
dolorosas	dolorosas
doloroso	doloroso
dolorosos	dolorosos
do%oji	dooji
dótarra	dotarra
dotor-café	dotor-cafe
drfe-Trrnad	drfe-trrnad
dr7^ílsõn“	drilson
drpoz	drpoz
duaj	duaj
duas	duas
duns	duns
duplicada	duplicada
d’uraa	duraa
duranu	duranu
duronte	duronte
d^ver*^-riamente	dver-riamente
eafé	eafe
ealqia	ealqia
eaml-	eaml-
eatendidas	eatendidas
eatranlfos	eatranlfos
eclos	eclos
e’c>r-po	ecr-po
ecrtos	ecrtos
edicções	ediccoes
editoriaes	editoriaes
èèrfo	eerfo
eernett	eernett
eetaçA*	eetaca
efepois	efepois
effectual-o	effectual-o
effel-fonnulador	effel-fonnulador
efflcadia	efflcadia
eflectuada	eflectuada
efrito	efrito
efti-cazei	efti-cazei
efTsctuada	eftsctuada
e^galho	egalho
ehtja^cousa	ehtjacousa
eierito	eierito
eifnhfo	eifnhfo
eiser-cías	eiser-cias
eiUo	eiuo
eleitorais	eleitorais
ellB	ellb
eloquente	eloquente
emergcncia	emergcncia
emlner	emlner
empobrecida	empobrecida
enan-	enan-
encia	encia
enconjrado	enconjrado
endxs	endxs
enecodra	enecodra
enganoram-s*	enganoram-s
eníor-c»8o	enior-co
enlre	enlre
en)or	enor
enorme	enorme
enqaanto	enqaanto
enrrupeão	enrrupeao
entravão	entravao
envolvidos	envolvidos
envrrcxdura	envrrcxdura
epocha	epocha
epurada‘e	epuradae
equili-brando-se	equili-brando-se
equiparam-se	equiparam-se
erde	erde
eríttao	erittao
erradamente	erradamente
ertC	ertc
es-crevcr-lhe	es-crevcr-lhe
esbanjá-lo	esbanja-lo
esclarecida	esclarecida
escrupulosas	escrupulosas
es>encial	esencial
e^seneú	eseneu
|eseon	eseon
esfarrapados	esfarrapados
esfor-jro	esfor-jro
esjivera	esjivera
eslejão	eslejao
eslomachico	eslomachico
esmnc&es	esmnces
espe-	espe-
especial	especial
especuladores	especuladores
esperançai	esperancai
esphacelada	esphacelada
espúrio	espurio
estabelecí-mento	estabeleci-mento
éstç	estc
este-mngo	este-mngo
estomacaes	estomacaes
estomogos	estomogos
estorna-	estorna-
etc	etc
eterno	eterno
e$tev«	etev
etirjo	etirjo
etriltoada	etriltoada
euphemis-mos	euphemis-mos
ex-Píoçáo	ex-piocao
exatamento	exatamento
excitados	excitados
excu-sart»m-*se	excu-sartm-se
exemplo—Gallilco	exemplogallilco
exerv^do	exervdo
exnortar	exnortar
exn*rlcncto	exnrlcncto
expressiva	expressiva
exprimiu	exprimiu
extlnguir-se*	extlnguir-se
extrahido	extrahido
fabuloso	fabuloso
faça-lhe	faca-lhe
f*adn	fadn
faih	faih
failánd	failand
famosas	famosas
fará	fara
fara	fara
farmacêutica	farmaceutica
fatal	fatal
favorave)	favorave
fazer-lhe	fazer-lhe
fcilhur	fcilhur
fCondutAo	fcondutao
fcwomrno	fcwomrno
feffer-9	feffer-
feitamente	feitamente
fficio	fficio
fido	fido
final	final
findo	findo
fiode	fiode
fiqui	fiqui
firm<	firm
fiscahxváo	fiscahxvao
fixado	fixado
fknmrdíno	fknmrdino
fksilnou	fksilnou
flarian<>	flarian
fleação	fleacao
flrmar	flrmar
fomar	fomar
forçn	forcn
forem	forem
foriíficnnte	foriificnnte
form	form
forma-	forma-
fracas	fracas
fran-cez—com	fran-cezcom
franert	franert
fraterrudíiJe	fraterrudiije
frio	frio
f*rmns	frmns
frogo	frogo
frsal	frsal
ftesta	ftesta
ftguns	ftguns
ftodor	ftodor
ftoM1	ftom
fui3d	fuid
funcçôes	funccoes
fuuccionar	fuuccionar
fuzer	fuzer
gasbr	gasbr
gativas	gativas
geate	geate
gerab	gerab
gerai-namente	gerai-namente
gernçáo	gerncao
glo-■ou	glo-ou
gmte	gmte
gnutaf	gnutaf
goáor	goaor
goevemo	goevemo
grand*	grand
grangcla	grangcla
grati-|	grati-
gratifiraçfto	gratifiracfto
gratitlcaçao	gratitlcacao
gravíssima	gravissima
gricultor	gricultor
**gundo	gundo
gunta	gunta
guraráo	gurarao
habitantes	habitantes
haver	haver
haverá	havera
hbra	hbra
henderem	henderem
hi>)Am	hiam
^hnaílKçíio	hnailkciio
hnmcna	hnmcna
hnnrà	hnnra
hnroa	hnroa
ho-micidrô	ho-micidro
hodierna	hodierna
homi-cidio/más	homi-cidiomas
hork	hork
horn	horn
horríveis	horriveis
horrivelmente	horrivelmente
houve	houve
hu-rnühaçúo	hu-rnuhacuo
humanidaae	humanidaae
i-to	i-to
>i»bcr	ibcr
ic-se	ic-se
(içado	icado
ichapojos	ichapojos
iciencia	iciencia
icío	icio
içlo	iclo
iConcluso	iconcluso
icpoitagcm	icpoitagcm
íctros	ictros
idadâos	idadaos
idadc	idadc
idea	idea
ideato	ideato
identien	identien
ídjunto	idjunto
ifil	ifil
ignara	ignara
<igruoame*tq	igruoametq
igualmente	igualmente
iícÃ	iica
iipõí	iipoi
iirni	iirni
iiuml	iiuml
ijgenc	ijgenc
/ijinau	ijinau
ilBCW-	ilbcw-
ilidade	ilidade
ilíou	iliou
*illex	illex
illus-tre	illus-tre
im-pecidq	im-pecidq
imlmonto	imlmonto
immediata	immediata
immediats	immediats
immensidada	immensidada
i*Moaa	imoaa
imoo	imoo
imparcial	imparcial
importância	importancia
importante	importante
impôs	impos
impressionados	impressionados
improòquamente	improoquamente
in-•cdeitavel	in-cdeitavel
in-possivel	in-possivel
inacíitavel	inaciitavel
incom-	incom-
incommodado	incommodado
incomnjoút»	incomnjout
indepe	indepe
índia	india
indicativo	indicativo
indiriduolidaae	indiriduolidaae
indispensável	indispensavel
induitriali-zação	induitriali-zacao
industna	industna
industrializa-<ão	industrializa-ao
ineficiente	ineficiente
in/elictlam	inelictlam
inelos	inelos
inelusivc	inelusivc
inesm	inesm
inevitável	inevitavel
infeliz	infeliz
infellrmcnte	infellrmcnte
inftoa	inftoa
ingleza	ingleza
ínll	inll
innoa	innoa
inoeo	inoeo
inquerit)	inquerit
ins-	ins-
insinuadas	insinuadas
insut^is	insutis
intc	intc
intcreSsea	intcressea
inteiramente	inteiramente
interessea	interessea
interprclá-b	interprcla-b
intestinal	intestinal
intransi-gente	intransi-gente
inven-	inven-
ioMlha	iomlha
iPontr	ipontr
ipqiicnto	ipqiicnto
*íradri	iradri
iravilhosc	iravilhosc
irtiríTiiitt	irtiritiiitt
istumacacs	istumacacs
itastos	itastos
itnlcza	itnlcza
itrento	itrento
«ituto	ituto
iucomncodos	iucomncodos
íufcHpeaeto	iufchpeaeto
íuidsd	iuidsd
íu^ir	iuir
iuui	iuui
iüuIv	iuuiv
ividadc-	ividadc-
iwntonhA<	iwntonha
ixotoda	ixotoda
(iyspepsias	iyspepsias
izad	izad
jaotidade	jaotidade
jaxiiro	jaxiiro
jgnto	jgnto
jicas	jicas
jiufiçu	jiuficu
jnlrr	jnlrr
jomados	jomados
j$ooo	jooo
jornad	jornad
jpbre	jpbre
jptçlligentg^que	jptclligentgque
jr--	jr--
jtblí-ça	jtbli-ca
juato	juato
judicial	judicial
juHrfdA	juhrfda
julgava-se	julgava-se
junsdiçção	junsdiccao
jus-	jus-
jwrtanci»	jwrtanci
klra	klra
krSLE	krsle
l*a<<na>	lana
langtfida-mer	langtfida-mer
«$lBronehí-t«i	lbronehi-ti
ldict<«	ldict
leader	leader
leclarar	leclarar
legae	legae
lei-	lei-
lendana	lendana
lendo	lendo
leneMe	leneme
leorleos	leorleos
lhanezn	lhanezn
lhe-souraria	lhe-souraria
lhesouraria	lhesouraria
libejdadv	libejdadv
licenciadas	licenciadas
licyr	licyr
lígá-lo	liga-lo
liistilu	liistilu
lilsto-rt<-n<	lilsto-rt-n
limbolis-tax	limbolis-tax
littera-rio	littera-rio
líuatdade	liuatdade
livram	livram
livre	livre
livrem	livrem
llbertaçáo	llbertacao
llllor	llllor
lllm	lllm
lllu-tre	lllu-tre
l‘lrn<c	llrnc
ln*‘Hulram	lnhulram
ln<™M»i»vel	lnmivel
lo-drifr	lo-drifr
locaes	locaes
lodoe	lodoe
lomallsta	lomallsta
lOOSOUO	loosouo
lovolunlarla	lovolunlarla
lr»b»)ho	lrbho
lRrai	lrrai
lsrmou	lsrmou
l«tn-brei-mc	ltn-brei-mc
lunldade	lunldade
luvrlrr	luvrlrr
m-rOtMInos	m-rotminos
manifestava-se	manifestava-se
mar-radb	mar-radb
maravilhosas	maravilhosas
margr	margr
matar-se	matar-se
**mbora	mbora
me-u-	me-u-
meadipos	meadipos
medie	medie
medíétime	medietime
melancólica	melancolica
mesflo	mesflo
mesnio	mesnio
mesquinheo	mesquinheo
mi-inha	mi-inha
mijitar	mijitar
milagroso	milagroso
milhfct	milhfct
militon-tc	militon-tc
minh-a	minh-a
minrfro	minrfro
misteriosa	misteriosa
mitei	mitei
mlnlmo	mlnlmo
mmllA	mmlla
mMXM	mmxm
mnci/io	mnciio
mnde	mnde
mngistr	mngistr
mnitoa	mnitoa
mo-lestrio	mo-lestrio
mo-ral	mo-ral
mo-realizadcr	mo-realizadcr
mocracia	mocracia
modcrr»s	modcrrs
moiea	moiea
moleatíos	moleatios
mom^mlo	mommlo
monarchista	monarchista
montanhéa	montanhea
morie	morie
moro-curiim	moro-curiim
morUs”	morus
moturl	moturl
mpre	mpre
<(mpr/no	mprno
m«Qda	mqda
mrompIMO*	mrompimo
m^ses	mses
msItUram	msituram
mtrmucv	mtrmucv
muguet	muguet
muitb	muitb
muitissimó	muitissimo
muitíssimo	muitissimo
múltiplas	multiplas
mulUs	mulus
munleL	munlel
mural	mural
mysteriosos	mysteriosos
n<»-dicamentoi	n-dicamentoi
naçlo	naclo
não—existência	naoexistencia
nâo*seriào	naoseriao
nar-rtram	nar-rtram
nasce	nasce
nasceu	nasceu
nâ>’se	nase
natu-	natu-
na(uzeiw’	nauzeiw
nã^v^le	navle
nccm’	nccm
nccurrenlc	nccurrenlc
ncon-	ncon-
ncqueniM	ncquenim
ne-Io	ne-io
neero	neero
nefico	nefico
neiro	neiro
neita	neita
néjii	nejii
nemhum	nemhum
nezro	nezro
nfco	nfco
nfenor	nfenor
nfio	nfio
nfto	nfto
niliano	niliano
nlguma	nlguma
n«n-tlngencio	nn-tlngencio
no-vos	no-vos
noém	noem
noiavol	noiavol
nois	nois
nono	nono
notável	notavel
novamente	novamente
nov^b^	novb
npenos	npenos
npplicar	npplicar
nprrndiMK^m	nprrndimkm
nrat»	nrat
nrcira	nrcira
nreci	nreci
nrics	nrics
*nrLv>	nrlv
“nrnm-nas	nrnm-nas
n^sta	nsta
nsuita	nsuita
••ntl^cn^	ntlcn
ntltu-d*s	ntltu-ds
ntoi	ntoi
nuar	nuar
nuense	nuense
nuirr»	nuirr
nuutru	nuutru
nvnorarme	nvnorarme
nw’rrr	nwrrr
nxecuçío	nxecucio
o-per^çõ^s	o-percos
oAMiNAH	oaminah
oara	oara
oblíquos	obliquos
obngado	obngado
|>obrc	obrc
obter	obter
|obti	obti
obtido	obtido
occa-sião	occa-siao
ocesso	ocesso
*odal	odal
oDialmláaée	odialmlaaee
oêln	oeln
of-rteio	of-rteio
oferta-do	oferta-do
offereceu-me	offereceu-me
ofiLtear	ofiltear
ofTerece]	ofterece
o/idc	oidc
oíficina	oificina
oificio	oificio
*oii-xaxw	oii-xaxw
okes	okes
olhnf	olhnf
olunoè	olunoe
omcn-te	omcn-te
ònícamente	onicamente
<oníro	oniro
onje	onje
onuais	onuais
onüu	onuu
ooiníãn	ooinian
oois	oois
oor/*ue	oorue
oossam	oossam
op-pnrelho	op-pnrelho
opin	opin
opor-se	opor-se
opulentissima	opulentissima
oridade	oridade
orleoUcão	orleoucao
orovideooas	orovideooas
os-de	os-de
osta	osta
osxurIo	osxurio
o\tarinheiro	otarinheiro
ourcra	ourcra
ousados	ousados
outre	outre
ouvío	ouvio
p)-der	p-der
p-rmittião	p-rmittiao
p<-sor	p-sor
pa-dendo	pa-dendo
pagarão	pagarao
paguui)	paguui
paixães	paixaes
panda»	panda
par-	par-
para-guaycnsis-	para-guaycnsis-
paraibano	paraibano
paraquxiieias	paraquxiieias
pari	pari
parq	parq
parti^ario	partiario
partna)	partna
paru	paru
pasmando	pasmando
passível	passivel
paulistana	paulistana
paulUtas	paulutas
paxaí	paxai
pcifl	pcifl
pcocurar	pcocurar
pcrsunjJo	pcrsunjjo
peçuoria	pecuoria
pederaso	pederaso
pederosas	pederosas
pefo	pefo
penhum	penhum
penosos	penosos
perdendo	perdendo
perfeitamente	perfeitamente
perma-nentea	perma-nentea
permancnW	permancnw
permanoncla	permanoncla
•peroao	peroao
pertencentes	pertencentes
pes-sôa	pes-soa
petooa	petooa
pezo	pezo
pharmaceuticu	pharmaceuticu
pi	pi
p&itiífos	pitiifos
pjxa	pjxa
plena	plena
pleno	pleno
pllôto	plloto
plMOPOS	plmopos
pnliti-co	pnliti-co
pnr-tic^r	pnr-ticr
pnra	pnra
pnvpriaj	pnvpriaj
po-a	po-a
po-úção	po-ucao
poalçáo	poalcao
po>alvt|	poalvt
poderá	podera
poderem	poderem
podería	poderia
poderíam	poderiam
poderosa	poderosa
poderoso	poderoso
podia	podia
pod*rA	podra
põem	poem
poiu	poiu
polaco-	polaco-
politiea	politiea
políUçn	poliucn
polto	polto
ponha	ponha
popula-	popula-
poraue	poraue
porln-vox	porln-vox
poroue	poroue
portado-res	portado-res
portaito	portaito
pos-o	pos-o
posso	posso
pouc	pouc
pouena	pouena
povu	povu
pparelho	pparelho
«ppruvAçflo	ppruvacflo
praclM)	praclm
pramorra	pramorra
prandes	prandes
prandr	prandr
prarrmrtdo	prarrmrtdo
pratica-mente	pratica-mente
prcci-1	prcci-
pre-	pre-
pre-fabricado	pre-fabricado
preatlglou	preatlglou
preci-acabar	preci-acabar
precisa-mente	precisa-mente
precLumente	preclumente
premlo	premlo
prendei*a	prendeia
prender	prender
prenderem	prenderem
prepotentes	prepotentes
prescrtifand^	prescrtifand
presenteo	presenteo
prestadas	prestadas
previstos	previstos
p*rfumes	prfumes
pricipalmtute	pricipalmtute
primeiraiuenle	primeiraiuenle
principelmente	principelmente
prirtcipe	prirtcipe
privifcpta-	privifcpta-
prlnclpalmcn-<c	prlnclpalmcn-c
pro-	pro-
pro-onnharo	pro-onnharo
proce	proce
proCodimen-tocriminal	procodimen-tocriminal
prodigiosa	prodigiosa
prodigioso	prodigioso
profética	profetica
proitarf	proitarf
pro^Jerem	projerem
promoioria	promoioria
prompta	prompta
propalada	propalada
proprlo	proprlo
proríncío	prorincio
prostrar-se	prostrar-se
protcxrio	protcxrio
provadas	provadas
>prov®dw	provdw
provincial	provincial
provincta	provincta
prtt-tlgio	prtt-tlgio
prxa	prxa
psiragens	psiragens
psra	psra
psrte	psrte
pstomacues	pstomacues
ptcuapta	ptcuapta
ptlc	ptlc
ptra	ptra
pubheiçlo	pubheiclo
publicados	publicados
pura	pura
purga-tivá$>	purga-tiva
purga-tiyns	purga-tiyns
purgativas	purgativas
qieema-tal-ost	qieema-tal-ost
qntar	qntar
qonsta	qonsta
qrrr	qrrr
qtfe	qtfe
qualiilpaçio	qualiilpacio
qualqeur	qualqeur
quaM	quam
quand	quand
quasi	quasi
queglão	queglao
quererá	querera
querr	querr
quisêramos	quiseramos
qu^mndas	qumndas
quMrn	qumrn
qunntj	qunntj
quolkjode	quolkjode
qut-r	qut-r
quun-toyos	quun-toyos
r-ão	r-ao
r-ueronea	r-ueronea
raciojiiiio	raciojiiiio
radicalrrente	radicalrrente
radiculmente	radiculmente
radto	radto
raesm	raesm
‘rakalh*>	rakalh
rapkfo	rapkfo
rarão	rarao
rasão	rasao
rasoavel	rasoavel
<*0>ratnl	ratnl
ratre	ratre
ra^un	raun
rcaenA	rcaena
rcallotr-se	rcallotr-se
rccebêra	rccebera
rcCebidi	rccebidi
rcconhccimcnto	rcconhccimcnto
rcdobrarA	rcdobrara
rciÀi	rciai
rclompaflo	rclompaflo
rcluctancia	rcluctancia
rcspirniono	rcspirniono
re-mottido	re-mottido
re-ponsavel	re-ponsavel
rea)idade	reaidade
realébolecimeoto	realebolecimeoto
realmen-te	realmen-te
realmente	realmente
realrnente	realrnente
reaolvi	reaolvi
rebelde	rebelde
reciamudaa	reciamudaa
recomu	recomu
reconhecida	reconhecida
reconhecidos	reconhecidos
recorreir	recorreir
recuoeracão	recuoeracao
recusar-me	recusar-me
reder	reder
referidas	referidas
referiu-se	referiu-se
refindo	refindo
refn	refn
regl^nalUmo	reglnalumo
relatoru)	relatoru
relra	relra
rempre	rempre
remunerada	remunerada
repetidas	repetidas
requeridas	requeridas
rerdace	rerdace
res-	res-
res-nnnsabílldades	res-nnnsabilldades
residern	residern
resoeito	resoeito
resolve	resolve
resolví	resolvi
respanMblIldjdcs	respanmblildjdcs
respecjvos/x/íwj	respecjvosxiwj
respectivos	respectivos
respei-Ct	respei-ct
respiratório	respiratorio
restabelecida	restabelecida
resteas	resteas
restinho	restinho
resultndo	resultndo
rêtiecte	retiecte
retlfn	retlfn
rettstlr	rettstlr
reunidos	reunidos
rgnís-mos	rgnis-mos
riaco	riaco
riãilicção	riailiccao
rida	rida
riencta	riencta
rífk<n*>	rifkn
rígido	rigido
rigorimo	rigorimo
rigorora	rigorora
rigorosíssimo	rigorosissimo
rílldãd	rilldad
rindo	rindo
rítnlco	ritnlco
rivi	rivi
rkos	rkos
rl«n‘«‘e	rlne
»rlnTnr‘	rlntnr
rlom	rlom
rmcrgOnciM	rmcrgoncim
rnen-dicancia	rnen-dicancia
rnenulmeM*	rnenulmem
rnm^reío	rnmreio
rntfo	rntfo
robusto	robusto
rospoid^á	rospoida
«rpilulas	rpilulas
rrce	rrce
rrecuo	rrecuo
rrfimuiençfio	rrfimuiencfio
rrin	rrin
r*rnovrto	rrnovrto
«rroçancM	rrocancm
rrwres	rrwres
rtKdrnu	rtkdrnu
rtqurza*	rtqurza
rtrmar	rtrmar
rttof	rttof
rtttrra	rtttrra
rude	rude
r^ypHlo	ryphlo
sabe	sabe
saber-sa	saber-sa
sai-bão	sai-bao
saiba	saiba
sal\*açlo	salaclo
salu-bre	salu-bre
salvar	salvar
salvará	salvara
sámpaüas	sampauas
sanpre	sanpre
saspeitas	saspeitas
satis-fuctorio	satis-fuctorio
sc-enêia	sc-eneia
scena	scena
scienci»	scienci
scindiram-se	scindiram-se
scomo	scomo
scrios	scrios
scrt>	scrt
scrura-listas	scrura-listas
scui	scui
selbar	selbar
sendo-Iho	sendo-iho
